Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Dominic Vogt,RUNNING,16/09/2021,09:34:58,01:20:02,14.22,140,10.7,16.8,05:38,03:34,1133,37,80,,72,159,236,229,,,,188.0,74.0,201,55,72,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,95,3.9,15:16,0,0,,0.20,0.0,,
,00:00:01,94,3.9,15:16,0,0,,0.30,0.0,,
,00:00:02,94,4.9,12:16,0,0,,4.97,0.0,,
,00:00:03,92,4.8,12:28,0,0,,8.80,0.0,,
,00:00:04,92,4.7,12:39,0,0,,11.60,0.0,,
,00:00:05,91,4.6,13:08,0,0,,12.90,0.0,,
,00:00:06,90,4.6,13:08,59,0,,14.20,0.0,,
,00:00:07,90,7.4,08:07,69,0,,17.30,0.0,,
,00:00:08,90,9.4,06:24,74,0,,17.60,0.0,,
,00:00:09,90,1.5,39:44,78,0,,17.60,0.0,,
,00:00:10,91,2.7,22:33,80,0,,17.60,0.0,,
,00:00:11,92,3.8,15:45,81,0,,17.60,0.0,,
,00:00:12,92,5.0,12:06,80,0,,17.60,0.0,,
,00:00:13,92,6.1,09:49,80,0,,17.60,0.0,,
,00:00:14,91,6.1,09:49,80,0,,17.60,0.0,,
,00:00:15,93,6.4,09:25,80,0,,22.27,0.0,,
,00:00:16,94,6.6,09:03,80,0,,26.94,0.0,,
,00:00:17,96,6.9,08:42,80,0,,27.60,0.0,,
,00:00:18,96,7.2,08:23,79,0,,29.30,0.0,,
,00:00:19,98,7.2,08:23,78,0,,29.30,0.0,,
,00:00:20,99,7.2,08:23,78,0,,29.30,0.0,,
,00:00:21,103,7.2,08:23,78,0,,29.30,0.0,,
,00:00:22,106,6.9,08:42,79,0,,29.40,0.0,,
,00:00:23,106,6.6,09:03,79,0,,30.50,0.0,,
,00:00:24,107,6.1,09:53,79,0,,31.40,0.0,,
,00:00:25,108,5.6,10:39,79,0,,32.60,0.0,,
,00:00:26,111,5.3,11:24,79,0,,34.90,0.0,,
,00:00:27,111,5.2,11:39,79,0,,37.80,0.0,,
,00:00:28,111,5.0,11:54,80,0,,42.47,0.0,,
,00:00:29,112,5.0,12:00,81,0,,47.14,0.0,,
,00:00:30,113,5.0,12:06,84,0,,51.81,0.0,,
,00:00:31,118,5.0,12:06,85,0,,56.48,0.0,,
,00:00:32,121,5.0,12:06,86,0,,61.15,0.0,,
,00:00:33,121,5.0,12:06,85,0,,65.82,0.0,,
,00:00:34,123,5.1,11:50,82,0,,70.49,0.0,,
,00:00:35,125,5.2,11:34,81,0,,74.20,0.0,,
,00:00:36,128,5.2,11:34,80,0,,75.20,0.0,,
,00:00:37,129,5.2,11:39,81,0,,75.20,0.0,,
,00:00:38,129,5.1,11:45,81,0,,75.20,0.0,,
,00:00:39,130,5.1,11:50,81,0,,75.20,0.0,,
,00:00:40,132,5.0,11:56,81,0,,75.20,0.0,,
,00:00:41,135,5.4,11:02,80,0,,75.40,0.0,,
,00:00:42,136,6.2,09:39,81,0,,77.10,0.0,,
,00:00:43,136,7.1,08:24,80,0,,79.60,0.0,,
,00:00:44,137,8.1,07:26,80,0,,82.30,0.0,,
,00:00:45,138,9.0,06:40,80,0,,85.20,0.0,,
,00:00:46,139,9.0,06:39,80,0,,88.50,0.0,,
,00:00:47,140,8.7,06:54,80,0,,93.10,0.0,,
,00:00:48,140,8.2,07:18,80,0,,97.70,0.0,,
,00:00:49,141,7.7,07:45,80,0,,102.00,0.0,,
,00:00:50,141,8.0,07:29,80,0,,106.30,0.0,,
,00:00:51,142,8.2,07:19,80,0,,110.10,0.0,,
,00:00:52,142,8.3,07:12,80,0,,113.60,0.0,,
,00:00:53,142,8.5,07:06,80,0,,117.20,0.0,,
,00:00:54,142,8.6,06:59,80,0,,120.70,0.0,,
,00:00:55,141,8.7,06:52,80,0,,123.60,0.0,,
,00:00:56,142,8.9,06:44,80,0,,125.70,0.0,,
,00:00:57,143,9.0,06:38,80,0,,128.20,0.0,,
,00:00:58,143,9.2,06:32,80,0,,131.60,0.0,,
,00:00:59,143,9.3,06:25,81,0,,135.10,0.0,,
,00:01:00,144,9.5,06:19,81,0,,139.10,0.0,,
,00:01:01,145,9.7,06:11,81,0,,143.10,0.0,,
,00:01:02,146,10.2,05:55,81,725,,146.90,0.0,,
,00:01:03,146,10.6,05:40,81,725,,150.80,0.0,,
,00:01:04,147,11.2,05:23,80,725,,155.20,0.0,,
,00:01:05,147,12.5,04:49,80,725,,159.87,0.0,,
,00:01:06,149,12.6,04:47,80,725,,164.54,0.0,,
,00:01:07,150,12.7,04:44,79,725,,168.20,0.0,,
,00:01:08,150,12.7,04:43,78,725,,171.50,0.0,,
,00:01:09,151,12.3,04:52,78,725,,174.10,0.0,,
,00:01:10,152,12.3,04:53,78,725,,176.30,0.0,,
,00:01:11,153,12.2,04:56,79,724,,178.30,0.0,,
,00:01:12,154,12.0,05:01,79,724,,179.90,0.0,,
,00:01:13,154,11.8,05:06,79,724,,181.20,0.0,,
,00:01:14,155,11.6,05:10,79,724,,182.40,0.0,,
,00:01:15,156,11.5,05:14,79,724,,183.90,0.0,,
,00:01:16,157,11.3,05:18,79,724,,186.30,0.0,,
,00:01:17,157,11.2,05:20,78,724,,188.90,0.0,,
,00:01:18,157,11.2,05:23,79,723,,191.40,0.0,,
,00:01:19,157,11.1,05:25,79,723,,194.20,0.0,,
,00:01:20,157,11.0,05:26,79,723,,197.50,0.0,,
,00:01:21,157,11.0,05:28,79,723,,200.60,0.0,,
,00:01:22,157,10.9,05:30,79,723,,203.50,0.0,,
,00:01:23,157,10.9,05:31,79,723,,205.80,0.0,,
,00:01:24,157,10.8,05:33,79,723,,208.50,0.0,,
,00:01:25,157,10.8,05:35,79,723,,210.90,0.0,,
,00:01:26,157,10.7,05:36,79,723,,213.30,0.0,,
,00:01:27,157,10.6,05:38,79,723,,215.60,0.0,,
,00:01:28,157,6.9,08:42,79,723,,216.80,0.0,,
,00:01:29,157,5.6,10:46,79,723,,217.80,0.0,,
,00:01:30,157,6.1,09:53,79,723,,219.20,0.0,,
,00:01:31,156,6.4,09:20,78,723,,221.00,0.0,,
,00:01:32,156,7.1,08:28,79,722,,222.90,0.0,,
,00:01:33,156,7.7,07:47,79,722,,224.80,0.0,,
,00:01:34,155,8.2,07:17,79,722,,226.60,0.0,,
,00:01:35,154,8.5,07:03,79,722,,228.90,0.0,,
,00:01:36,152,8.6,07:00,79,722,,231.40,0.0,,
,00:01:37,151,8.5,07:03,79,722,,234.20,0.0,,
,00:01:38,151,8.4,07:07,79,722,,237.10,0.0,,
,00:01:39,151,8.4,07:09,79,722,,239.70,0.0,,
,00:01:40,151,8.5,07:05,79,722,,242.10,0.0,,
,00:01:41,150,8.7,06:52,79,722,,244.60,0.0,,
,00:01:42,150,9.1,06:38,79,722,,247.30,0.0,,
,00:01:43,150,9.5,06:19,79,722,,250.10,0.0,,
,00:01:44,151,10.0,06:01,79,722,,253.20,0.0,,
,00:01:45,151,10.5,05:44,79,722,,256.50,0.0,,
,00:01:46,152,10.9,05:30,79,722,,260.20,0.0,,
,00:01:47,152,11.0,05:29,79,722,,264.10,0.0,,
,00:01:48,152,11.0,05:27,79,722,,267.90,0.0,,
,00:01:49,152,11.1,05:25,79,721,,271.50,0.0,,
,00:01:50,152,11.1,05:23,79,721,,275.50,0.0,,
,00:01:51,152,11.2,05:21,79,721,,279.10,0.0,,
,00:01:52,152,11.3,05:20,79,721,,282.90,0.0,,
,00:01:53,152,11.3,05:18,79,721,,286.10,0.0,,
,00:01:54,151,11.4,05:17,78,721,,289.20,0.0,,
,00:01:55,151,11.4,05:17,78,721,,292.00,0.0,,
,00:01:56,150,11.3,05:17,78,721,,294.20,0.0,,
,00:01:57,151,10.8,05:34,78,721,,295.90,0.0,,
,00:01:58,151,6.4,09:25,79,720,,296.90,0.0,,
,00:01:59,151,5.5,10:59,78,720,,297.20,0.0,,
,00:02:00,152,6.1,09:55,79,720,,298.10,0.0,,
,00:02:01,153,7.0,08:37,79,720,,300.10,0.0,,
,00:02:02,153,7.3,08:12,79,720,,302.00,0.0,,
,00:02:03,153,7.4,08:10,79,720,,303.90,0.0,,
,00:02:04,154,7.4,08:05,79,720,,305.70,0.0,,
,00:02:05,153,7.5,07:58,79,720,,308.50,0.0,,
,00:02:06,154,7.7,07:49,79,720,,312.20,0.0,,
,00:02:07,154,7.8,07:41,79,720,,315.90,0.0,,
,00:02:08,154,7.9,07:34,79,720,,319.40,0.0,,
,00:02:09,154,8.1,07:27,79,720,,322.30,0.0,,
